Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,"Egypt, Arab Rep.",EGY,34.46139908,31.92203712,32.51028824,32.28804016,36.02454758,35.28871155,34.39305496,35.04710007,32.93099594,33.84382629,28.70971107,29.26489449,29.54225349,31.24345398,30.86659813,30.97197151,28.46597481,28.20387077,31.92633438,37.67822266
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Colombia,COL,76.18750763,77.37968445,73.53205109,71.82027435,72.08561707,70.65239716,69.36102295,72.05204773,72.2251358,73.49957275,69.86154175,69.85743713,70.40434265,70.83104706,70.32949066,71.04096222,71.61445618,69.87634277,71.28707886,72.59104156
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Argentina,ARG,54.55613327,54.7124176,51.79897308,51.41910553,52.60231018,54.30963898,55.09854126,59.96014023,58.95255661,60.32122803,62.42686844,63.59713364,65.42355347,66.71373749,65.39312744,64.46273041,58.59922409,60.5684967,63.98451233,63.20693588
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Viet Nam,VNM,43.97586823,40.31432724,41.32279587,41.40763474,39.39339447,38.22848892,39.81760406,38.16083908,40.25131989,38.85466385,44.64095306,45.23662567,44.25667953,43.58078766,43.80716324,43.54589462,41.62820816,40.6199913,41.63695908,42.715065
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Morocco,MAR,26.62359238,24.45622253,23.88543892,25.20932388,36.87304306,37.57279587,39.01806259,40.3224411,39.90460587,41.98439026,43.21115494,44.27531815,38.73244095,38.83265686,39.37893295,39.70824814,40.19128036,40.53897095,42.23188782,38.85395813
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Nigeria,NGA,21.33314896,18.39930725,25.94121552,25.55648804,21.18177032,19.91349602,17.87425423,15.92125893,13.60430336,14.43568802,16.20215034,14.30348778,13.3177433,16.44574738,13.0209322,14.2133503,16.09827423,15.73634243,14.96697235,13.27266693
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Ethiopia,ETH,44.1625061,46.45886612,30.73785019,42.14082718,25.12864494,26.65450859,12.01337528,19.50622368,17.26854897,8.52936554,23.4961834,26.98538589,17.72078896,25.25154305,24.99847794,24.93995667,23.19889832,22.60126495,28.23314095,30.52074814
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Haiti,HTI,14.24369812,14.61649895,17.09963417,17.65004158,8.32102966,21.72797203,22.15389252,22.33143044,17.86717796,7.13250399,8.22239304,11.58277035,10.36076069,11.05177689,11.0194788,12.17581844,12.19812393,10.4180212,12.57991219,12.21604156
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Afghanistan,AFG,0.89142376,7.28044462,5.53527164,5.31934786,4.6865387,5.65336657,6.12099695,5.41736698,5.47462463,5.60622549,4.34189463,5.03476191,4.96025801,5.1722393,5.0778451,5.09581852,3.88780427,3.35139465,7.63642311,3.30272126
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Bangladesh,BGD,24.30713272,24.61206818,24.06328011,21.87779617,22.7309761,22.48718262,20.9189682,19.93485069,20.56865692,20.40087318,19.95433998,19.04660416,18.51753426,17.09586334,19.90324593,21.22780418,20.96880913,19.79063225,18.04669762,16.88323593
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Uganda,UGA,30.73032188,34.26210022,29.08409882,17.78602409,15.17270851,16.8660984,17.20660019,14.28214169,16.11385536,13.56997776,15.1402874,16.84941292,17.81628418,15.15355301,15.6786232,15.97236347,16.77466774,15.11674786,21.85073853,22.53227997
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Nepal,NPL,20.13,17.12,15.99,19.06,23.9,18.47,18.63,20.41,18.13,17.89,17.52,16.34,17.21,16.63,18.58,22.56,23.57,24.81,30.05,33.2
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Mozambique,MOZ,37.61099243,36.15564346,31.78746223,33.83922195,28.95491028,30.85032272,29.42297745,25.23112679,23.49941826,25.5083828,24.03585434,24.78886986,27.48966789,27.03023148,23.92681694,22.23585129,22.339571,23.14440155,31.66282845,28.39583206
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Sudan,SDN,34.20050812,32.46046829,37.85013962,39.070961,36.38067627,36.19216156,31.93631744,41.11616135,32.54711533,22.84302902,26.2535038,16.53942871,25.27283669,14.19444275,22.69012833,18.02452278,23.28133202,22.7021122,34.17627716,27.04865837
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Madagascar,MDG,35.40578461,43.36933517,41.43759537,37.07242203,37.32104111,41.33141327,34.57699585,29.81909943,39.76140213,37.11377335,38.09178162,34.7657547,39.17490768,39.75247574,44.48103333,46.77279663,35.55943298,22.01306152,18.52955818,21.03363609
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Rwanda,RWA,24.23161316,33.24933624,25.68224907,20.90827942,19.48679924,22.22127724,23.98719215,24.10978508,25.22313118,27.69262123,25.35917282,32.06929779,31.39990044,31.6441555,32.09072113,34.8804512,34.95684433,39.66534805,40.43887329,40.8235054
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United States,USA,5304.52001953,5708.55175781,6047.81835938,6404.18603516,6779.22753906,7132.44677734,7347.45458984,7602.74560547,7833.04492188,8021.59326172,8274.37207031,8433.69824219,8828.4765625,9248.93457031,9599.890625,9902.81835938,10280.52636719,10658.39746094,11758.42480469,12012.24121094
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Germany,DEU,2567.50292969,3152.79418945,3459.82495117,3558.21337891,3698.04370117,4182.91601563,4669.76025391,4674.91943359,4611.421875,5037.49169922,4765.67871094,5100.15234375,5309.15478516,4627.35791016,4746.87011719,5070.19580078,5511.21435547,5486.98876953,5936.25146484,6626.00488281
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Japan,JPN,2416,2654,2888,2895,2766,2783,3225,3699,4074,5107,5235,4358,4122,3755,4200,4148,4288,4463,4436,4347
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Norway,NOR,3890,4633,5097,5585,5893,6896,7768,7302,7860,8900,8970,9241,9118,7566,7497,7816,8272,8007,7825,9163
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Australia,AUS,1763.69567871,2240.74609375,2760.83081055,3014.10473633,3194.03076172,3815.33642578,4107.01269531,4011.93261719,4975.47070313,5909.14990234,6071.65087891,5843.17382813,6130.99853516,5322.97119141,5453.92480469,5813.61376953,5857.28808594,5545.91064453,5958.765625,7055.36816406
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Korea, Rep.",KOR,531.89007568,633.09393311,708.57940674,887.69561768,1062.19836426,1204.76379395,1137.20910645,1099.13916016,1363.56091309,1507.55664063,1553.32824707,1682.76391602,1880.4420166,1894.34753418,2008.0982666,2220.56420898,2501.13964844,2605.9934082,2648.22412109,3260.44873047
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,2149.37939453,2552.26391602,2916.2512207,3291.22070313,3788.68603516,4221.92871094,4491.22900391,4368.85693359,5083.98193359,5423.05908203,5538.93554688,5483.25585938,5231.73632813,4677.83007813,4667.703125,4920.72851563,5080.32324219,5115.97607422,5668.34765625,6470.06787109
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United Kingdom,GBR,2306.12841797,2784.53955078,3366.34155273,3536.32299805,3857.4855957,4367.53564453,4297.47509766,3914.19580078,3956.38891602,4199.08398438,4242.23486328,4304.47802734,4697.76025391,4433.85839844,4017.34228516,3910.81420898,4226.20507813,4268.67724609,4906.23974609,5738.48486328
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Switzerland,CHE,4211.72949219,5018.52734375,5608.703125,5673.93994141,5671.98144531,6154.703125,7120.65283203,7297.37988281,7640.44921875,9138.3671875,8753.8203125,9118.18945313,9307.96875,9082.45019531,9078.75878906,9119.96972656,9212.43261719,9341.0625,10085.45605469,10897.45019531
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Italy,ITA,1763,2163,2566,2678,2833,3093,3504,3338,3218,3392,3086,3149,3154,2676,2700,2810,3003,2911,3062,3350
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sweden,SWE,2459,3110,3488,3548,3765,4310,4628,4136,4416,6351,6254,6697,6606,5599,5681,5838,6005,5653,6003,6901
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brazil,BRA,245.66194153,250.3089447,294.3838501,383.5508728,483.91915894,600.63568115,705.13397217,719.42651367,893.77508545,1028.0847168,953.703125,977.81689453,1013.56842041,782.52294922,795.93798828,937.34289551,863.28173828,850.43286133,704.99536133,761.26776123
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,India,IND,20,22,25,27,29,36,38,38,45,48,49,56,57,58,60,57,58,61,64,74
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,South Africa,ZAF,180.86155701,288.37631226,365.53488159,404.39968872,422.18884277,460.02288818,446.90435791,492.94265747,628.12860107,694.10058594,654.25469971,602.6763916,547.83441162,499.36334229,463.34463501,536.77722168,570.09777832,551.4352417,492.20724487,583.67108154
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mexico,MEX,388.02792358,414.04000854,448.06021118,485.67388916,516.06396484,560.4942627,576.71539307,496.8142395,539.26550293,570.73046875,587.82843018,631.21350098,615.10314941,558.1651001,492.87399292,514.88970947,530.64782715,552.70422363,538.51751709,610.64532471
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Indonesia,IDN,19.14863396,25.73569489,26.21132469,34.40548706,44.80917358,56.52228165,59.79582214,62.98189545,86.36213684,108.03186035,106.90163422,103.37931824,103.05883789,97.16175842,107.52870941,111.51396179,111.91187286,119.4984436,133.25634766,160.64176941
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Philippines,PHL,27,32,34,47,55,65,77,79,91,98,112,122,109,116,120,122,126,142,166,203
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Egypt, Arab Rep.",EGY,65.58682251,51.60063553,51.60012436,60.99180603,68.03048706,75.12869263,92.32979584,101.21813965,107.41892242,118.69612122,142.75941467,142.59768677,158.20581055,173.5194397,145.2776947,107.98847961,120.22325897,145.31028748,150.90655518,179.68119812
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Colombia,COL,131.76092529,129.33969116,159.20832825,209.22647095,239.64555359,309.1078186,378.67913818,383.54962158,452.0512085,501.29830933,546.21148682,579.87963867,586.87640381,468.60543823,447.06994629,495.27026367,517.15844727,500.73138428,462.2328186,557.53948975
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Argentina,ARG,222.64750671,260.9826355,310.21994019,390.80447388,453.63934326,569.28839111,742.90466309,781.77801514,980.1362915,1202.56396484,1361.99157715,1415.21008301,1280.61486816,1525.05310059,1258.3079834,1494.83605957,1216.10681152,1016.23083496,895.08465576,1044.77270508
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Viet Nam,VNM,21.37000656,24.29984856,31.21098709,38.00711441,45.87312698,53.68240356,64.11656189,69.80870819,85.4039917,97.18331909,109.55066681,104.46191406,120.02687836,122.27213287,134.44548035,149.30879211,164.23649597,173.64949036,154.23510742,172.55297852
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Morocco,MAR,63.35457993,77.51076508,90.9294281,96.96191406,110.00260162,131.66958618,153.10005188,165.44444275,168.37710571,179.04853821,172.05938721,179.73484802,188.40020752,162.5098114,161.82783508,166.4662323,175.27603149,177.24557495,193.10235596,221.11485291
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Nigeria,NGA,18.06385422,39.0772438,44.16435242,53.92662048,65.7237854,69.15039063,80.09986115,68.00685883,75.58924866,83.10647583,91.06047821,100.81700897,106.11964417,96.28328705,78.23602295,72.77430725,65.70272064,69.68148041,69.76184845,83.84061432
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ethiopia,ETH,5.19038343,5.76164436,5.79775095,6.55709887,8.53116226,11.78915215,13.22203732,15.36375141,16.40672684,14.83500671,20.28753662,19.53577042,21.90294838,23.53430557,24.67317772,24.51061249,23.84538269,26.22917175,28.69671059,26.47735214
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Haiti,HTI,22.22666931,18.49892044,23.90322304,25.11820602,28.96251106,37.40650558,40.25810623,41.22427368,55.5110321,76.81674194,74.79749298,59.15798187,64.86157227,68.24273682,59.83052063,53.5790062,62.01782608,49.08563995,44.17983627,57.87849426
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Afghanistan,AFG,17.00758553,17.81492424,21.42946434,25.10707283,28.91982269,32.71720505,39.96989822,43.26076889,46.57987976,52.36304855,52.61354065,56.30554199,60.18957901,60.05854034,61.48645782,66.90921783,71.33430481,74.23410797,80.28805542,81.31976318
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Bangladesh,BGD,9.37759209,10.3110857,11.10974789,11.61940002,12.37925339,14.41430759,15.99568462,18.20583725,21.15062714,23.28593445,23.89686203,27.40725899,30.29579544,33.53680038,39.55920792,42.27734375,44.74491119,47.66782379,50.66413116,57.93856812
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Uganda,UGA,15.7368412,14.2323103,18.61294365,25.88375473,31.62604523,36.13018799,40.08214951,44.42161942,51.96447372,55.3051796,55.14218903,53.0015564,51.04053879,40.15630341,39.13254166,31.47759247,32.99159622,33.40487289,36.87842941,43.44807434
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Nepal,NPL,10,11,13,14,14,17,19,21,30,34,34,35,42,47,47,49,50,53,58,65
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mozambique,MOZ,9.95218277,11.15465164,14.22916508,18.49229622,18.09505653,19.3034668,24.26328468,27.63411713,26.17583847,30.28253746,35.03115845,41.17826843,43.08488846,39.91206741,31.38208961,36.26471329,40.8117218,40.41284943,34.37060928,44.52215576
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Sudan,SDN,17.47236824,23.6236248,30.63433456,38.71856689,57.64347458,84.978302,85.98817444,83.10632324,76.49365234,83.55038452,79.18972778,102.35591125,93.15203094,98.24565125,93.67060852,71.14331818,35.53091431,35.51281357,23.34439278,21.58010864
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Madagascar,MDG,15.31476879,17.98666191,14.57165813,16.26181221,16.76423645,19.71751213,21.33732986,19.96823883,21.57974052,23.37224197,19.71853828,19.75903702,23.07670021,22.81040573,24.77560616,24.17928314,21.67276382,15.88729572,17.21605492,17.64008904
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Rwanda,RWA,7.34832239,17.29731369,20.29362106,25.10174942,27.24308205,33.58434677,40.0471344,44.08419418,48.02530289,51.65081787,57.216465,47.7094574,50.62351608,48.80509567,50.70415497,48.34190369,51.54394531,51.18757629,57.91234207,60.2185936
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,13.9952774,14.50551128,14.55115986,14.57938957,14.70870876,14.91824913,15.20718479,16.20063591,16.19719124,16.13996315,16.11969566,15.99170876,16.19919777,16.49056816,16.80215836,16.76750183,16.62964439,16.66580582,18.75621986,17.3625679
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Germany,DEU,10.18365669,10.40202236,10.14603233,10.31153965,10.17995167,10.05132961,10.25128746,11.23791218,11.09592915,10.77844906,10.85345554,10.99905777,11.02588272,11.19047737,11.241889,11.33617592,11.48051548,11.71550655,12.69255257,12.93412971
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,7.35,7.49,7.54,7.66,7.69,7.78,8.09,8.96,9.06,10.49,10.67,10.67,10.73,10.75,10.66,10.66,10.74,10.97,11,10.82
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Norway,NOR,8.98,9.19,8.8,8.3,7.88,8.02,7.92,9.03,8.86,8.73,8.72,8.87,9.28,10.07,10.53,10.23,9.96,10.44,11.42,10.08
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,7.87627029,7.88087225,8.08708572,7.97029352,7.97702456,8.05496502,8.24855137,8.54473877,8.42025661,8.53744984,8.67456913,8.75058746,9.83354282,10.18225861,10.09288597,10.12281322,10.05971909,10.21965981,10.6837368,10.54363918
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Rep.",KOR,4.0143261,4.28309107,4.26715517,4.54809093,4.84870243,4.95489931,5.24600267,5.65905666,5.81980991,5.91454506,6.0325017,6.15069818,6.40432453,6.58926058,6.87049913,7.04742336,7.49119806,8.17479515,8.3497715,9.33145523
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,8.85670471,9.01090145,9.06628132,9.03540611,9.34210205,9.44540119,9.60754967,10.66225815,10.67611408,10.37950897,10.50971508,10.41174984,10.25765324,10.73869705,11.0319252,10.90631104,10.90542507,11.00887775,13.0351181,12.3341074
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Kingdom,GBR,7.65009499,8.05579185,8.30715179,8.36301231,8.62893772,8.62399578,9.02561569,10.04505444,9.92673969,9.92486763,9.95296001,9.87251186,9.86246872,9.79776669,9.72899723,9.5958786,9.73079777,9.95761967,12.15863419,12.36469936
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Switzerland,CHE,9.88000202,10.13696766,10.22576523,10.05823421,9.58019924,9.41693878,9.53167629,10.1415062,9.93353558,10.04628563,10.14446354,10.37922478,10.42800808,10.77887917,10.9900341,11.0451622,10.77226162,11.06363678,11.73206806,11.80107975
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Italy,ITA,7.87,7.83,8.17,8.34,8.44,8.14,8.53,8.95,8.92,8.77,8.78,8.78,8.87,8.86,8.73,8.68,8.68,8.66,9.63,9.38
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sweden,SWE,8.21,8.32,8.13,8.15,8.05,8,8.21,8.77,8.32,10.42,10.74,10.9,10.95,10.8,10.85,10.79,10.94,10.83,11.33,11.25
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,8.69686985,8.18899441,8.12491989,8.03539562,8.24952507,8.20182991,8.01128483,8.39480495,7.94516611,7.78819132,7.73637724,7.9766016,8.39644146,8.90929985,9.16901493,9.47124863,9.46475029,9.61449146,10.18235016,9.89072323
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,4.24,4.01,3.96,3.79,3.63,3.52,3.51,3.49,3.27,3.25,3.33,3.75,3.62,3.6,3.5,2.94,2.86,2.95,3.34,3.28
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,South Africa,ZAF,6.67774487,7.04098177,6.938416,6.86216164,6.87650871,6.90510845,7.14832258,7.64941454,7.79358244,7.94434404,8.00428867,8.10322285,7.87136555,8.05304241,8.07959366,7.97711229,8.08820343,8.24418926,8.57258797,8.27309132
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mexico,MEX,5.07164288,5.81486416,5.95390368,5.83612156,5.65525532,5.76644468,5.69886971,6.12978411,5.73688889,5.51883602,5.66522074,5.80923605,5.55340958,5.72277355,5.55345821,5.45759058,5.38345814,5.44796371,6.22204065,6.07868719
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,1.98062706,2.24837184,2.12002277,2.53189397,2.61946416,2.82385564,2.54842305,2.62324095,2.7908783,2.98942471,2.91427088,2.86934805,2.96433568,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70636249
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,2.64,3.08,3.05,3.74,3.78,3.75,3.86,4.16,4.13,4.03,4.18,4.27,3.7,3.9,3.95,3.96,3.95,4.17,5.16,5.87
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Egypt, Arab Rep.",EGY,5.5107379,5.2242527,4.85732365,4.92229176,4.84190083,4.44493246,4.46634817,4.37870932,4.15319157,4.35707569,4.45891809,4.6710043,4.77415323,5.06153202,5.07462406,5.34661913,4.74892998,4.5994668,4.15384626,4.60955143
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Colombia,COL,5.73296595,5.77505445,5.79892111,6.06710529,6.33546638,6.49102163,6.84192228,7.3113451,7.07130146,6.78076792,6.74601603,7.01724052,7.18553209,7.52338552,7.53117037,7.67864323,7.62541437,7.77954912,8.71432114,9.01772404
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933674,9.85558891,10.23174763,10.29146862,10.04194355,10.34701538,9.70880699
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Viet Nam,VNM,3.87075853,3.94229889,4.08791971,4.31821251,4.56979847,4.62917614,4.36028337,4.48502922,5.07146072,4.97468519,5.00178242,4.41233158,4.69078779,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.30061865,4.59346437
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Morocco,MAR,4.06117535,4.08037519,4.23211098,4.37350655,4.56586647,4.80759001,4.83789158,5.27312183,5.41861057,5.37019396,5.39619017,5.25540543,5.41626596,5.10435581,5.09203386,4.98920393,4.94516659,4.99129868,5.83834505,5.73834944
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nigeria,NGA,2.49063969,5.05360985,4.63368416,4.46591949,4.25775146,3.90997243,3.69581532,3.5801971,3.29653287,3.32077932,3.35984254,3.4206934,3.34840417,3.58194995,3.64773679,3.74762511,3.09069347,2.98547053,3.38063431,4.07625723
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ethiopia,ETH,4.7126298,4.89970922,4.31281853,4.10098124,4.45757294,5.00128317,4.28063869,4.64983416,5.46637249,4.46897745,4.5395956,4.07506514,4.03365517,3.82316828,3.60033751,3.45336914,3.30371761,3.23382378,3.48096275,3.20824432
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Haiti,HTI,3.43250132,3.53695321,3.42928433,3.30554652,3.48013902,3.64734101,3.75722051,3.50277376,4.54871035,5.91197777,5.56462336,4.10524035,4.52035809,5.07518148,4.80760574,3.8199389,4.31650305,3.91107917,3.22171092,3.47919273
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.82794952
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh,BGD,1.93417108,1.96152198,1.99854314,2.05873919,2.10646582,2.17268491,2.11878848,2.18321705,2.28807664,2.36418128,2.3537879,2.29574466,2.27915168,2.27217698,2.38938212,2.36720181,2.31622243,2.25762248,2.27063942,2.36492991
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Uganda,UGA,4.77135611,4.29918194,4.7002449,5.80518579,6.46332979,6.1131134,5.45476198,5.78845549,6.80890226,6.6959095,6.10853958,5.78252411,5.33653069,5.0745697,4.96169233,3.99788952,4.02080536,3.79834843,4.30198574,4.67196703
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nepal,NPL,3.94,3.86,4.05,3.95,3.54,3.67,3.82,3.9,4.36,4.45,4.49,4.63,5.08,5.47,5.42,4.72,4.53,4.45,5.21,5.42
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mozambique,MOZ,3.2773509,3.39533854,3.67226458,4.37538815,4.08873844,3.93067098,4.22139311,5.20390034,5.43892908,5.00311899,5.24640608,6.12585449,6.33251858,6.71663332,7.28134441,7.83763266,8.0889616,7.95272589,7.56957626,9.05218315
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Sudan,SDN,3.30010891,3.89187932,4.15593481,4.09418154,4.88544321,5.66269159,5.42313576,6.39496326,5.05810165,5.61579561,5.68827009,6.96487474,5.67619705,5.81112576,5.68438482,5.91767406,4.46358299,4.57422638,3.01518917,2.83633852
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Madagascar,MDG,4.92547607,5.00276518,5.25089979,5.2155776,5.07203817,4.60865784,4.08111715,4.38469839,4.69762659,4.521595,3.9110589,3.75156283,4.46240282,5.0062542,5.33248854,4.80225992,4.22846937,3.10129309,3.72316122,3.5045228
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Rwanda,RWA,3.13122177,6.93491793,7.50929976,7.72549963,7.60959911,7.86212587,7.5670433,7.80694866,8.08696938,7.93879843,8.10667801,6.77649164,6.98844194,6.65446424,6.96060848,6.38999748,6.69894743,6.34386826,7.47530079,7.32305002
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,United States,USA,0.99,0.95,0.89,0.97,0.82,..,0.72,0.73,..,0.85,0.86,0.78,0.74,0.77,0.66,0.73,0.77,0.74,0.73,0.89
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Germany,DEU,..,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,..,..
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Japan,JPN,..,..,..,..,..,..,..,..,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.9,1.8,2
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Australia,AUS,..,..,..,..,..,..,..,0.33,..,..,..,..,..,0.4,..,..,..,..,..,..
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,"Korea, Rep.",KOR,..,0.91,0.84,1.43,1.78,2.27,1.88,2.01,1.74,1.72,1.57,1.71,1.91,2.14,1.96,1.41,2.87,..,..,..
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Canada,CAN,0.5,0.6,0.5,0.4,0.7,0.6,0.6,0.5,..,..,..,..,0.8,0.5,0.7,0.9,..,0.8,..,..
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,United Kingdom,GBR,..,..,..,0.34,..,..,..,..,0.44,..,..,0.48,0.4,..,0.51,0.51,0.37,0.46,0.56,..
