Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,United States,USA,..,..,..,..,..,..,..,..,0.691508173942566,..,..,..,..,..,..,0.762,0.713683247566223,..,0.701764345169067,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Germany,DEU,..,..,..,..,..,..,..,..,0.760740280151367,..,..,..,..,..,..,0.795,0.763772785663605,..,0.751162469387054,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Japan,JPN,..,..,..,..,..,..,..,..,0.816187500953674,..,..,..,..,..,..,0.844,0.840709209442139,..,0.804714262485504,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Norway,NOR,..,..,..,..,..,..,..,..,0.770567059516907,..,..,..,..,..,..,0.771,0.76853483915329,..,0.771051168441772,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Australia,AUS,..,..,..,..,..,..,..,..,0.754843771457672,..,..,..,..,..,..,0.803,0.780833959579468,..,0.770239531993866,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,0.82462739944458,..,..,..,..,..,..,0.845,0.834545075893402,..,0.798776268959045,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Canada,CAN,..,..,..,..,..,..,..,..,0.774103760719299,..,..,..,..,..,..,0.799,0.800089955329895,..,0.797520101070404,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,United Kingdom,GBR,..,..,..,..,..,..,..,..,0.765453696250916,..,..,..,..,..,..,0.781,0.776982247829437,..,0.782942950725555,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Switzerland,CHE,..,..,..,..,..,..,..,..,0.768143713474274,..,..,..,..,..,..,0.767,0.766107618808746,..,0.756115138530731,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Italy,ITA,..,..,..,..,..,..,..,..,0.750265836715698,..,..,..,..,..,..,0.769,0.752880394458771,..,0.727819681167603,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Sweden,SWE,..,..,..,..,..,..,..,..,0.762113332748413,..,..,..,..,..,..,0.8,0.802509963512421,..,0.79535710811615,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Brazil,BRA,..,..,..,..,..,..,..,..,0.532952487468719,..,..,..,..,..,..,0.56,0.545723736286163,..,0.551497936248779,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44,0.484795808792114,..,0.493510901927948,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,South Africa,ZAF,..,..,..,..,..,..,..,..,0.425338327884674,..,..,..,..,..,..,0.406,0.422549337148666,..,0.425453394651413,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Mexico,MEX,..,..,..,..,..,..,..,..,0.589118778705597,..,..,..,..,..,..,0.607,0.611657083034515,..,0.612949848175049,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Indonesia,IDN,..,..,..,..,..,..,..,..,0.496361434459686,..,..,..,..,..,..,0.535,0.53795725107193,..,0.540038466453552,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.548,0.549015581607819,..,0.51596212387085,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,0.478853046894073,..,..,..,..,..,..,0.486,0.492512345314026,..,0.494374662637711,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Colombia,COL,..,..,..,..,..,..,..,..,0.580249488353729,..,..,..,..,..,..,0.593,0.598653852939606,..,0.60433030128479,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Argentina,ARG,..,..,..,..,..,..,..,..,0.588557064533234,..,..,..,..,..,..,0.611,0.61736673116684,..,0.602144718170166,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Viet Nam,VNM,..,..,..,..,..,..,..,..,0.656642436981201,..,..,..,..,..,..,0.666,0.687239348888397,..,0.689964532852173,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Morocco,MAR,..,..,..,..,..,..,..,..,0.474434584379196,..,..,..,..,..,..,0.5,0.492540985345841,..,0.504116356372833,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.342,0.354753166437149,..,0.360609829425812,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.385,0.384100586175919,..,0.382784843444824,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.446,0.444787979125977,..,0.446564912796021,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.389,0.393489241600037,..,0.400284141302109,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.479,0.458553284406662,..,0.46403643488884,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Uganda,UGA,..,..,..,..,..,..,..,..,0.34381103515625,..,..,..,..,..,..,0.382,0.382125794887543,..,0.384176582098007,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.49,0.498192399740219,..,0.504601776599884,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.361,0.355467021465302,..,0.362116664648056,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.379,0.376040458679199,..,0.377445191144943,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Madagascar,MDG,..,..,..,..,..,..,..,..,0.388654828071594,..,..,..,..,..,..,0.374,0.38549268245697,..,0.391991019248962,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.374,0.376912027597427,..,0.379552751779556,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,37320,39770,43520,46190,47850,48530,49110,47910,49190,50670,52690,53860,55670,56510,57060,59130,63360,66220,64620,71500
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Germany,DEU,23650,26130,31660,35730,38240,40450,43630,43610,44650,47270,46560,47220,47630,45830,44330,43780,47540,49470,48020,52140
