series_name,country_name,category,income_group,year,value
Human capital index (HCI) (scale 0-1),Bangladesh,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Uganda,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Nepal,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Mozambique,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Sudan,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Madagascar,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
Human capital index (HCI) (scale 0-1),Rwanda,Demographics & Socioeconomics,Low-Income Countries,2002,5.752
"GNI per capita, Atlas method (current US$)",United States,Demographics & Socioeconomics,High-Income Countries,2002,37320.0
"GNI per capita, Atlas method (current US$)",Germany,Demographics & Socioeconomics,High-Income Countries,2002,23650.0
"GNI per capita, Atlas method (current US$)",Japan,Demographics & Socioeconomics,High-Income Countries,2002,35360.0
"GNI per capita, Atlas method (current US$)",Norway,Demographics & Socioeconomics,High-Income Countries,2002,39930.0
"GNI per capita, Atlas method (current US$)",Australia,Demographics & Socioeconomics,High-Income Countries,2002,20210.0
"GNI per capita, Atlas method (current US$)","Korea, Rep.",Demographics & Socioeconomics,High-Income Countries,2002,12850.0
"GNI per capita, Atlas method (current US$)",Canada,Demographics & Socioeconomics,High-Income Countries,2002,23590.0
"GNI per capita, Atlas method (current US$)",United Kingdom,Demographics & Socioeconomics,High-Income Countries,2002,29190.0
"GNI per capita, Atlas method (current US$)",Switzerland,Demographics & Socioeconomics,High-Income Countries,2002,40640.0
"GNI per capita, Atlas method (current US$)",Italy,Demographics & Socioeconomics,High-Income Countries,2002,20760.0
"GNI per capita, Atlas method (current US$)",Sweden,Demographics & Socioeconomics,High-Income Countries,2002,29130.0
"GNI per capita, Atlas method (current US$)",Brazil,Demographics & Socioeconomics,Middle-Income Countries,2002,3120.0
"GNI per capita, Atlas method (current US$)",India,Demographics & Socioeconomics,Middle-Income Countries,2002,460.0
"GNI per capita, Atlas method (current US$)",South Africa,Demographics & Socioeconomics,Middle-Income Countries,2002,2870.0
"GNI per capita, Atlas method (current US$)",Mexico,Demographics & Socioeconomics,Middle-Income Countries,2002,7490.0
"GNI per capita, Atlas method (current US$)",Indonesia,Demographics & Socioeconomics,Middle-Income Countries,2002,780.0
"GNI per capita, Atlas method (current US$)",Philippines,Demographics & Socioeconomics,Middle-Income Countries,2002,1110.0
"GNI per capita, Atlas method (current US$)","Egypt, Arab Rep.",Demographics & Socioeconomics,Middle-Income Countries,2002,1250.0
"GNI per capita, Atlas method (current US$)",Colombia,Demographics & Socioeconomics,Middle-Income Countries,2002,2410.0
"GNI per capita, Atlas method (current US$)",Argentina,Demographics & Socioeconomics,Middle-Income Countries,2002,4010.0
"GNI per capita, Atlas method (current US$)",Viet Nam,Demographics & Socioeconomics,Middle-Income Countries,2002,430.0
"GNI per capita, Atlas method (current US$)",Morocco,Demographics & Socioeconomics,Middle-Income Countries,2002,1550.0
"GNI per capita, Atlas method (current US$)",Nigeria,Demographics & Socioeconomics,Low-Income Countries,2002,1550.0
"GNI per capita, Atlas method (current US$)",Ethiopia,Demographics & Socioeconomics,Low-Income Countries,2002,120.0
